Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"№
п/п",Код,Наименование,Наименование объекта общего имущества,Тип работ,Группа работ,Сокращенное наименование работы,Виды работ в 2022 году
1,105,строительный контроль,Строительный контроль,Услуга,Стройконтроль,СК,
2,26,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ",Подъезд,Работа,СМР,Подъезд,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме"
3,9,"ремонт фасада (замена оконных блоков, расположенных в помещениях общего пользования в многоквартирном доме)",Фасад(оконные блоки),Работа,СМР,Окна,"замена оконных блоков, расположенных в помещениях общего пользования"
4,104,проведение экспертизы проектной документации по объектам культурного наследия федерального значения,проведение экспертизы,Услуга,СМР,проведение экспертизы,
5,20,разработка проектной документации,разработка проектной документации,Услуга,СМР,ПСД,
6,3,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),Внутридомовые системы отопления (магистрали),Работа,СМР,ЦО-М,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали)
7,5,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),Внутридомовые системы канализации (магистрали),Работа,СМР,КАН-М,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы)
8,4,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),Внутридомовые инженерные системы горячего водоснабжения (магистрали),Работа,СМР,ГВС-М,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали)
9,4,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),Внутридомовые системы холодного водоснабжения (магистрали),Работа,СМР,ХВС-М,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали)
10,53,ремонт или замена мусоропровода,Мусоропровод,Работа,СМР,Мусоропровод,ремонт мусоропровода
11,52,ремонт пожарного водопровода,Пожарный водопровод,Работа,СМР,ПВ,ремонт пожарного водопровода
12,51,ремонт внутридомовой системы дымоудаления и противопожарной автоматики,Системы дымоудаления,Работа,СМР,ППАиДУ,
13,1,ремонт внутридомовых инженерных сетей электроснабжения,Внутридомовые системы электроснабжения,Работа,СМР,ЭС,ремонт внутридомовых инженерных систем электроснабжения
14,2,ремонт внутридомовых инженерных систем газоснабжения,Внутридомовые инженерные системы газоснабжения,Работа,СМР,ГАЗ,ремонт внутридомовых инженерных систем газоснабжения
15,9,"ремонт подвальных помещений, относящихся к общему имуществу собственников помещений","Подвальные помещения, относящиеся к общему имуществу",Работа,СМР,Подвал,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме"
16,3,ремонт внутридомовых инженерных систем теплоснабжения (стояки),Внутридомовые системы отопления (стояки),Работа,СМР,ЦО,ремонт внутридомовых инженерных систем теплоснабжения (стояки)
17,5,ремонт внутридомовых инженерных систем водоотведения (канализации) (стояки),Внутридомовые системы канализации (стояки),Работа,СМР,КАН,ремонт внутридомовых инженерных систем водоотведения (канализации) (стояки)
18,4,ремонт внутридомовых инженерных систем горячего водоснабжения (стояки),Внутридомовые инженерные системы горячего водоснабжения (стояки),Работа,СМР,ГВС,ремонт внутридомовых инженерных систем горячего водоснабжения (стояки)
19,11,ремонт фундамента,Фундамент,Работа,СМР,Фундамент,
20,4,ремонт внутридомовых инженерных систем холодного водоснабжения (стояки),Внутридомовые системы холодного водоснабжения (стояки),Работа,СМР,ХВС,ремонт внутридомовых инженерных систем холодного водоснабжения (стояки)
21,8,ремонт крыши,Крыша,Работа,СМР,Крыша,ремонт крыши
22,12,ремонт или замена внутреннего водостока,Внутренний водосток,Работа,СМР,ВДСК,ремонт внутреннего водостока
23,13,ремонт балконов,Фасад (балконы),Работа,СМР,Балкон,
24,10,ремонт фасада,Фасад,Работа,СМР,Фасад,ремонт фасадов
25,333,оценка соответствия лифтов,оценка соответствия лифтов,Услуга,Оценка соответствия лифтов,Оценка,
26,28,"Разработка и проведение экспертизы ПД, в том числе АН за проведением работ по сохранению ОКН, выявленных ОКН, научное руководство проведением указанных работ в случае проведения работ по КР ОИ в МКД  г. Москвы, являющихся ОКН, выявленными ОКН.","Разработка и проведение экспертизы ПД, в том числе АН за проведением работ по сохранению ОКН, выявленных ОКН, научное руководство проведением указанных работ в случае проведения работ по КР ОИ в МКД  г. Москвы, являющихся ОКН, выявленными ОКН.",Работа,Не задано,"Разработка и проведение экспертизы ПД, в том числе АН за проведением работ по сохранению ОКН, выявленных ОКН, научное руководство проведением указанных работ в случае проведения работ по КР ОИ в МКД  г. Москвы, являющихся ОКН, выявленными ОКН.",
27,106,Авторский надзор,Авторский надзор,Услуга,Не задано,Авторский надзор,
28,321,разработка проектной документации по лифтам,разработка проектной документации по лифтам,Услуга,Лифты,ПСД лифты,
29,6,замена лифтового оборудования,Лифт,Работа,Лифты,Лифт,замена лифтового оборудования
