global_id,PERIOD,WORK_NAME,NUM_ENTRANCE,ElevatorNumber,PLAN_DATE_START,PLAN_DATE_END,FACT_DATE_START,FACT_DATE_END,AdmArea,District,Address,UNOM
351060,2022,замена лифтового оборудования,1.0,1,15.07.2022,28.08.2022,27.06.2022,14.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Ивантеевская улица, дом 1, корпус 6",20151
430496,2022,замена лифтового оборудования,1.0,1,30.09.2022,14.10.2022,30.09.2022,21.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Ивантеевская улица, дом 1, корпус 6",20151
348580,2022,ремонт внутридомовых инженерных систем водоотведения (канализации) (выпуски и сборные трубопроводы),,,21.02.2022,20.06.2022,01.02.2022,25.05.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
348581,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,07.05.2022,03.08.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
348578,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,01.02.2022,27.06.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
348579,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,21.02.2022,20.06.2022,01.02.2022,27.06.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
348577,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,07.03.2022,22.11.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
394514,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,11.05.2022,10.09.2022,24.05.2022,03.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Бойцовая улица, дом 4/37, корпус 3",2328
347989,2022,замена лифтового оборудования,3.0,3,15.07.2022,28.08.2022,27.06.2022,06.10.2022,Восточный административный округ,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Игральная улица, дом 10",8576
353402,2022,ремонт внутридомовых инженерных систем газоснабжения,,,21.05.2022,30.09.2022,15.09.2022,29.11.2022,Восточный административный округ,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Сталеваров, дом 18, корпус 2",24608
353421,2022,ремонт внутридомовых инженерных систем газоснабжения,,,21.05.2022,30.09.2022,12.07.2022,06.10.2022,Восточный административный округ,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 69, корпус 2",8403
355570,2022,"ремонт подъездов, направленный на восстановление их надлежащего состояния и проводимый при выполнении иных работ по капитальному ремонту общего имущества в многоквартирном доме",,,11.02.2022,10.06.2022,11.02.2022,15.02.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, 3-я Рыбинская улица, дом 21, корпус 1",22291
347249,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,03.03.2022,29.06.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
347246,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,25.02.2022,12.08.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
347247,2022,ремонт внутридомовых инженерных систем горячего водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,25.02.2022,12.08.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
347250,2022,ремонт фасадов,,,01.04.2022,31.08.2022,25.04.2022,05.12.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
347248,2022,ремонт крыши,,,11.05.2022,30.09.2022,24.05.2022,08.11.2022,Восточный административный округ,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
347264,2022,ремонт внутридомовых инженерных систем холодного водоснабжения (разводящие магистрали),,,11.03.2022,10.07.2022,18.01.2022,12.04.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
347266,2022,ремонт фасадов,,,01.04.2022,31.08.2022,19.05.2022,16.11.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
347267,2022,"ремонт подвальных помещений, относящихся к общему имуществу в многоквартирном доме",,,21.05.2022,30.09.2022,04.04.2022,11.10.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
347265,2022,ремонт внутридомовых инженерных систем теплоснабжения (разводящие магистрали),,,21.04.2022,10.07.2022,04.05.2022,10.08.2022,Восточный административный округ,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
