,global_id,FACT_DATE_START,FACT_DATE_END,District,Address,UNOM
0,351060,27.06.2022,14.10.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Ивантеевская улица, дом 1, корпус 6",20151
1,430496,30.09.2022,21.10.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Ивантеевская улица, дом 1, корпус 6",20151
2,348580,01.02.2022,25.05.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
3,348581,07.05.2022,03.08.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
4,348578,01.02.2022,27.06.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
5,348579,01.02.2022,27.06.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
6,348577,07.03.2022,22.11.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Краснобогатырская улица, дом 21",11466
7,394514,24.05.2022,03.10.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Бойцовая улица, дом 4/37, корпус 3",2328
8,347989,27.06.2022,06.10.2022,район Богородское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Игральная улица, дом 10",8576
9,353402,15.09.2022,29.11.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Сталеваров, дом 18, корпус 2",24608
10,353421,12.07.2022,06.10.2022,район Новогиреево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 69, корпус 2",8403
11,355570,11.02.2022,15.02.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, 3-я Рыбинская улица, дом 21, корпус 1",22291
12,347249,03.03.2022,29.06.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
13,347246,25.02.2022,12.08.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
14,347247,25.02.2022,12.08.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
15,347250,25.04.2022,05.12.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
16,347248,24.05.2022,08.11.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
17,347264,18.01.2022,12.04.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
18,347266,19.05.2022,16.11.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
19,347267,04.04.2022,11.10.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
20,347265,04.05.2022,10.08.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
21,347269,16.02.2022,27.06.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
22,347270,26.01.2022,27.04.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
23,347274,02.05.2022,18.10.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
24,347273,21.02.2022,27.04.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
25,347271,22.04.2022,12.07.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
26,430917,21.02.2022,27.04.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
27,395107,04.05.2022,01.10.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
28,395106,03.02.2022,29.06.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Красноярская улица, дом 1",11723
29,430910,16.05.2022,11.10.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
30,430908,18.01.2022,22.07.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
31,430909,18.01.2022,12.04.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Егерская улица, дом 1",7376
32,430918,01.04.2022,27.04.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
33,430915,26.01.2022,27.04.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
34,430916,22.02.2022,27.04.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Челябинская улица, дом 2",28391
35,347366,25.03.2022,21.09.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
36,347368,02.06.2022,15.12.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
37,347369,06.06.2022,15.12.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
38,347367,17.02.2022,20.07.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
39,361506,20.05.2022,26.07.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
40,430949,04.04.2022,09.08.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
41,430946,25.03.2022,26.07.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
42,430947,17.05.2022,09.08.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
43,430948,25.03.2022,20.07.2022,район Ивановское,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, Свободный проспект, дом 11, корпус 2",22830
44,347420,18.02.2022,22.06.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
45,347421,03.02.2022,22.04.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
46,347423,14.03.2022,26.04.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
47,347425,23.04.2022,07.10.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
48,347422,03.02.2022,22.04.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
49,430985,21.04.2022,15.11.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
50,430991,21.02.2022,04.05.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
51,430983,27.01.2022,22.04.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
52,430986,01.04.2022,22.06.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
53,430987,06.06.2022,15.11.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
54,430988,21.04.2022,15.11.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
55,430989,01.03.2022,18.04.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
56,430990,23.05.2022,03.10.2022,район Гольяново,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Алтайская улица, дом 5",365
57,347440,18.02.2022,18.05.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
58,347441,18.02.2022,18.05.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
59,347442,06.05.2022,05.08.2022,район Сокольники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Короленко, дом 2, корпус 7",11079
